0	Spark plasma sintering (SPS) was employed to synthesize Sr 2 SiO 3.5 N 0.333 :Eu 2+ , Sr 2 SiO 3 N 0.667 :Eu 2+ , and Sr 2 SiO 2 N 1.333 :Eu 2+  for use in white light emitting diodes (LED) lightings. The SPS technique enabled a complete, rapid synthesis of these phosphors with ease, whereas it is difficult to produce nitridosilicate phosphors by any other conventional synthesis methods. The photoluminescent (PL) spectrum of Sr 2 SiO 3.5 N 0.333 :Eu 2+ had two emission peaks, one at 420 and the other at 526 nm. There existed a single peak at 529 nm in the case of Sr 2 SiO 3 N 0.667 :Eu 2+ . The PL spectrum of Sr 2 SiO 2 N 1.333 :Eu 2+  also had two peaks, one at 529 and the other at 600 nm. Even though the exact structure was not identified, it was revealed that the X-ray diffraction pattern of Sr 2 SiO 3.5 N 0.333 :Eu 2+ , Sr 2 SiO 3 N 0.667 :Eu 2+ , and Sr 2 SiO 2 N 1  333:Eu 2+  was consistent with the PL data. The phosphor with the highest nitrogen content, Sr 2 SiO 2 N 1. 333:Eu 2+ , showed a broad emission band spanning almost the entire visible range, which may work best if coupled with either UV or blue LEDs.
0	The addition of a carbosilane skeleton precursor to a plasma-enhanced chemical vapor deposition process producing porous SiCOH dielectrics (pSiCOH) is shown to affect the carbon content and the pore structure of pSiCOH. Positron annihilation lifetime spectroscopy (PALS) reveals that added carbosilane reduces pore connectivity. PALS also shows evidence of both smaller ultramicropores ( 0.7 nm) in these materials. The method of N 2  adsorption porosimetry and the alpha-plot analysis provide an understanding of the PALS connectivity results through a correlation of high pore connectivity with a high fraction of porosity as the larger supermicropores. Low pore connectivity correlates with a low fraction of the porosity as supermicropores. A potential figure of merit for pSiCOH is then obtained, which is the amount of the porous volume present as the smallest ultramicropores. This is derived as the difference in porous volumes measured by N 2  adsorption vs toluene adsorption. The addition of a carbosilane precursor to pSiCOH deposition results in pSiCOH with a smaller average pore size and reduced pore connectivity.
0	A study on the preparation of thermally stable phosphor targets based on yttrium aluminium garnet doped with cerium (YAG:Ce) when excited by a high power laser diode is described. The luminous flux, chromaticity and Radial spectral flux of the targets along with their thermal stability have been determined when exposed to laser powers of up to 5000mW. This report presents successful high brightness light sources with adjustable emission properties achieved by utilising thermally stable phosphor targets excited by high power laser diodes.
1	An asymmetric synthesis of the tubulin polymerisation inhibitor (S)-(−)-N-acetylcolchinol is reported based on an intramolecular biaryl oxidative coupling of a 1,3-diarylpropyl acetamide intermediate using phenyliodonium bis(trifluoroacetate) as the final step. Three syntheses of the penultimate 1,3-diarylpropyl acetamide intermediate (S)-(−)-N-[1-[3-(tert-butyldimethylsilyloxy)phenyl)]-3-(3,4,5-trimethoxyphenyl)propyl] acetamide are described which differ in the means by which the stereogenic centre was introduced.
1	The cationic sensitizer 5,10,15,20-tetrakis(N-methylpyridinium-4-yl)porphyrin (TMPyP) forms supramolecular complexes with native, per-methylated, sulfonated and dimethyl-sulfonated cyclodextrins (CDs). Binding interactions were proved by NMR, mass spectra, capillary zone electrophoresis, UV-Vis and fluorescence spectroscopy. The 2D-NMR experiments on native CDs indicate that the interaction of TMPyP with the external CD surface is the dominant binding mode. The high binding affinity of TMPyP towards sulfonated CDs is due to electrostatic interactions. Binding is accompanied by an increase of the TMPyP basicity. Whereas βCD does not affect the lifetime of the TMPyP triplet states, binding with sulfonated CDs causes the protonation of the TMPyP triplet states even in neutral solution. The diprotonated anionic sensitizer 5,10,15,20-tetrakis(4-sulfonatophenyl)porphyrin (TPPSH22+) forms host–guest complexes with native βCD and γCD, similarly as in its non-protonated state. The positive charge of pyrrole nitrogen atoms does not significantly influence the mode of the interaction. In contrast to TMPyP, the lifetimes of the triplet states of bound TPPSH22+ to native CDs increase.
0	Metal-free transfer hydrogenation of polarized olefins (RR′CCEE′: R, R′ = H or organyl, E, E′ = CN or CO2Me) using amine borane adducts RR′NH–BH3 (R = R′ = H, AB; R = Me, R′ = H, MAB; R = tBu, R′ = H, tBAB; R = R′ = Me, DMAB) as hydrogen donors, were studied by means of in situ NMR spectroscopy. Deuterium kinetic isotope effects and the traced hydroboration intermediate revealed that the double H transfer process occurred regio-specifically in two steps with hydride before proton transfer characteristics. Studies on substituent effects and Hammett correlation indicated that the rate determining step of the HN transfer is in agreement with a concerted transition state. The very reactive intermediate [NH2BH2] generated from AB was trapped by addition of cyclohexene into the reaction mixture forming Cy2BNH2. The final product borazine (BHNH)3 is assumed to be formed by dehydrocoupling of [NH2BH2] or its solvent stabilized derivative [NH2BH2]–(solvent), rather than by dehydrogenation of cyclotriborazane (BH2NH2)3 which is the trimerization product of [NH2BH2].
0	Tautomeric switching is observed in a series of benzimidazole-based anion receptors upon addition of basic anions. An N-methylbenzimidazole based receptor selectively interacts with dihydrogen phosphate over a variety of other putative anionic guests via a combination of donated and accepted hydrogen bonds.
1	In the context of our studies on the applications of 3-aminolactams as conformationally restricted pseudodipeptides, we report here the synthesis of a library of potential dimerisation inhibitors of HIV1-protease. Two of the pseudopeptides were active on the wild type virus (HIV1) at micromolar levels (EC50). Although the peptides showed lower anti-viral activity than previously reported dimerisation inhibitors, our results demonstrate that the piperidone moiety does not prevent cell penetration, and hence that such derivatization is compatible with potential anti-HIV treatment.
1	The present approach for determining the electrophilicity (E) and nucleophilicity (N) of aldehydes includes a kinetic study of KMNO4 oxidation and NaBH4 reduction of aldehydes. A transition state analysis of the KMNO4 promoted aldehyde oxidation reaction has been performed, which shows a very good correlation with experimental results. The validity of the experimental method has been tested using the experimental activation parameters of the two reactions. The utility of the present approach is further demonstrated by the theoretical versus experimental relationship, which provides easy access to E and N values for various aldehydes and offers an at-a-glance assessment of the chemical reactivity of aldehydes in various reactions.
1	A structural polymorphism of nucleic acids, which depends on the concentration of cations and the conditions of hydration, are strongly involved with interactions between DNA and proteins. In this paper, we report that different DNA sequences bound to hyperthermostable TATA-box-binding protein (PhoTBP) at different combinations of temperature and salt concentration in in vitro selection experiments. As a result of the interaction of-these selected DNAs with PhoTBP, characteristic changes in the numbers of water molecules and ions occurred under each condition of the selection experiment. This finding could help us to understand the solvent environment-dependent preference for base sequences in protein–DNA interactions.
